Date;Month;Year;Description;Macrocategory;Category;Condition;Value;Value Calculation;Status;Type;Shared
08/05/2024;5;2024;Car Fuel;Transportation;Fuel;Outflow;80;-80;;;
08/05/2024;5;2024;Food University;Food;Delivery Food;Outflow;42;-42;;;
15/05/2024;5;2024;Parking at University;Transportation;Parking;Outflow;60;-60;;;
15/05/2024;5;2024;May Rent;Personal;Rent;Outflow;65;-65;;;
15/05/2024;5;2024;Bike Maintenance;Personal;Bike;Outflow;10;-10;;;
23/05/2024;5;2024;Gift for friend C;Personal;Gift;Outflow;50;-50;;;
23/05/2024;5;2024;Food with friend;Food;Weekend Food;Outflow;35;-35;;;
23/05/2024;5;2024;Uber to Work;Transportation;Uber;Outflow;12;-12;;;
23/05/2024;5;2024;Food University;Food;Week Food;Outflow;20;-20;;;
23/05/2024;5;2024;Calculus 8th Edition - Howard Anton;Personal;Library;Outflow;12;-12;;;
30/05/2024;5;2024;Food Work;Food;Week Food;Outflow;49;-49;;;
05/06/2024;6;2024;Pants and Socks;Personal;Clothes;Outflow;240;-240;;;
05/06/2024;6;2024;Decoration;Personal;Housing;Outflow;10;-10;;;
05/06/2024;6;2024;Dog Food;Personal;Pets;Outflow;90;-90;;;
12/06/2024;6;2024;Swimming Goggles;Personal;Exercising;Outflow;140;-140;;;
12/06/2024;6;2024;Gift for friend;Personal;Gift;Outflow;20;-20;;;
12/06/2024;6;2024;Bike Front Tire;Personal;Bike;Outflow;40;-40;;;
19/06/2024;6;2024;PBI Course;Personal;Online Course;Outflow;15;-15;;;
19/06/2024;6;2024;Notebook;Personal;Gear;Outflow;15;-15;;;
27/06/2024;6;2024;Pale Blue Dot - Carl Sagan;Personal;Library;Outflow;45;-45;;;
05/06/2024;6;2024;Car Washing;Transportation;Car Maintenance;Outflow;110;-110;;;
05/06/2024;6;2024;Car Fuel;Transportation;Fuel;Outflow;80;-80;;;
05/06/2024;6;2024;Food University;Food;Delivery Food;Outflow;42;-42;;;
12/06/2024;6;2024;Parking at University;Transportation;Parking;Outflow;60;-60;;;
12/06/2024;6;2024;May Rent;Personal;Rent;Outflow;65;-65;;;
12/06/2024;6;2024;Bike Maintenance;Personal;Bike;Outflow;10;-10;;;
19/06/2024;6;2024;Gift for friend C;Personal;Gift;Outflow;50;-50;;;
19/06/2024;6;2024;Food with friend;Food;Weekend Food;Outflow;35;-35;;;
27/06/2024;6;2024;Uber to Work;Transportation;Uber;Outflow;12;-12;;;
27/06/2024;6;2024;Food University;Food;Week Food;Outflow;20;-20;;;
13/06/2024;6;2024;Calculus 8th Edition - Howard Anton;Personal;Library;Outflow;12;-12;;;
08/06/2024;6;2024;Food Work;Food;Week Food;Outflow;49;-49;;;
05/06/2024;6;2024;Calculus 9th Edition - Howard Anton;Personal;Library;Outflow;15;-15;;;
05/06/2024;6;2024;Expected June Contibution;Investment;Expected Contibution;Investment;800;800;;;
12/06/2024;6;2024;Calculus 10th Edition - Howard  Anton;Personal;Library;Outflow;8;-8;;;
12/06/2024;6;2024;Car Motor Maintenance;Transportation;Car Maintenance;Outflow;120;-120;;;
12/06/2024;6;2024;Additional June Income;Salary;Additional Income;Income;250;250;;;
19/06/2024;6;2024;Expected June Salary;Salary;Expected Salary;Income;2000;2000;;;
19/06/2024;6;2024;Additional June Contibution;Investment;Additional Contribution;Investment;1900;1900;;;
27/06/2024;6;2024;University Parking;Transportation;Parking;Outflow;20;-20;;;
27/06/2024;6;2024;Pasta;Food;Delivery Food;Outflow;63;-63;Verify;;
01/07/2024;7;2024;Shoes;Salary;Expected Salary;Income;5000;5000;;;
02/07/2024;7;2024;Pants;Personal;Clothes;Outflow;150;-150;;Credit - General Expense;
02/07/2024;7;2024;Food - Paid for friend;Food;Week Food;Outflow;15;-15;Pending Income;Credit - General Expense;Shared
03/07/2024;7;2024;Parking at University;Transportation;Parking;Outflow;20;-20;;;
04/07/2024;7;2024;Food University;Food;Delivery Food;Outflow;80;-80;;;
05/07/2024;7;2024;Parking at University;Transportation;Parking;Outflow;42;-42;;;
06/07/2024;7;2024;July Rent;Personal;Rent;Outflow;60;-60;;;
07/07/2024;7;2024;Bike Maintenance;Personal;Bike;Outflow;65;-65;;;
08/07/2024;7;2024;Gift for friend C;Personal;Gift;Outflow;10;-10;;;
09/07/2024;7;2024;Food with friend;Food;Weekend Food;Outflow;50;-50;;;
10/07/2024;7;2024;Uber to Work;Transportation;Uber;Outflow;35;-35;;;
11/07/2024;7;2024;Food University;Food;Week Food;Outflow;12;-12;;Credit - General Expense;
12/07/2024;7;2024;Calculus 8th Edition - Howard Anton;Personal;Library;Outflow;20;-20;;;
13/07/2024;7;2024;Food Work;Food;Week Food;Outflow;12;-12;;;
14/07/2024;7;2024;Calculus 9th Edition - Howard Anton;Personal;Library;Outflow;49;-49;;;
15/07/2024;7;2024;Plotly Dash Online Course;Personal;Online Course;Outflow;240;-240;;;
16/07/2024;7;2024;Expected July Contibution;Investment;Expected Contibution;Investment;800;800;;;
17/07/2024;7;2024;Calculus 10th Edition - Howard  Anton;Personal;Library;Outflow;90;-90;;;
18/07/2024;7;2024;Car Motor Maintenance;Transportation;Car Maintenance;Outflow;140;-140;;;
19/07/2024;7;2024;Additional July Income;Salary;Additional Income;Income;500;500;;;
20/07/2024;7;2024;Expected July Salary;Salary;Expected Salary;Income;2000;2000;;;
21/07/2024;7;2024;Additional July Contibution;Investment;Additional Contribution;Investment;500;500;;;
22/07/2024;7;2024;University Parking;Transportation;Parking;Outflow;15;-15;;;
23/07/2024;7;2024;Pasta;Food;Delivery Food;Outflow;45;-45;;;
24/07/2024;7;2024;Shoes;Salary;Expected Salary;Outflow;110;-110;;;
25/07/2024;7;2024;Pants;Personal;Clothes;Outflow;20;-20;;;
26/07/2024;7;2024;Food at Work - Paid for friend;Food;Week Food;Outflow;12;-12;;;
02/08/2024;8;2024;Pants and Socks;Personal;Clothes;Outflow;50;-50;;;
02/08/2024;8;2024;Cups;Personal;Housing;Outflow;35;-35;;;
02/08/2024;8;2024;Dog Food;Personal;Pets;Outflow;12;-12;;;
02/08/2024;8;2024;Shorts;Personal;Exercising;Outflow;20;-20;;;
02/08/2024;8;2024;Gift for friend;Personal;Gift;Outflow;12;-12;;;
02/08/2024;8;2024;Bike Lock;Personal;Bike;Outflow;45;-45;;;
16/07/2024;7;2024;Balance;;;;5700;5700;;;
01/09/2024;9;2024;Shoes - Installment;Personal;Clothes;Outflow;200;-200;Accrued Invoice;Credit - Installment;
25/12/2024;12;2024;Christmas Gift ;Personal;Gift;Outflow;40;-40;Pending Outflow;;
